start_time,end_time,playlist_title,playlist_id,video_title,video_id,chapter_title,chapter_id,content,clip_link
0,60,Walls and Painting,india_reno_walls_and_ceilings,Wall Preparation: Indian Home Renovation Guide,vid_0000,How to Prepare Walls Before Painting in India,ch_0000,"Proper wall preparation is the most important step for a lasting paint finish. In India, new concrete walls must cure for at least 28 days before painting. Step 1: Check for efflorescence (white salt deposits) — scrub with a wire brush and treat with diluted hydrochloric acid (1:10 ratio) if present. Step 2: Fill all cracks with white cement putty for hairline cracks, or POP (Plaster of Paris) for larger gaps up to 5mm. Step 3: Apply alkali-resistant primer (e.g. Asian Paints Wall Primer) — this is mandatory for Indian monsoon climates as it prevents alkaline salts from bleeding through emulsion. Step 4: Sand after primer dries (4–6 hours). Two coats of wall putty give the smoothest finish before applying emulsion. Total prep time: 2–3 days. Skipping putty is the single biggest cause of poor paint finish in Indian homes.",https://www.asiapaintspaints.com/painting-guide
60,120,Walls and Painting,india_reno_walls_and_ceilings,Paint Quantity Calculator — Indian Standard,vid_0001,Calculating Paint Quantity for Indian Rooms,ch_0001,"To calculate paint needed for an Indian room: measure total wall area (length × height × number of walls) minus door/window openings. Standard door = 2.1m × 0.9m = 1.89 sqm. Standard window = 1.2m × 1.0m = 1.2 sqm. Coverage: Asian Paints Royale Aspira covers 140–160 sqft per litre in a 2-coat system. Formula: litres needed = (total sqft ÷ 150) × 2 coats × 1.1 (wastage factor). For a 12×10 ft bedroom (4 walls, 9 ft ceiling): wall area ≈ 720 sqft − 60 sqft openings = 660 sqft. Paint needed = (660 ÷ 150) × 2 × 1.1 ≈ 9.7 litres → buy 10L. Always buy paint from the same batch number to avoid colour variation between batches.",https://www.asianpaints.com/painting-guide/painting-calculator.html
120,180,Walls and Painting,india_reno_walls_and_ceilings,Treating Seepage and Damp in Indian Walls,vid_0002,Fixing Damp Walls in Indian Homes Before Renovation,ch_0002,"Dampness in Indian homes has three sources: rising damp (ground floor slab), seepage through external walls (monsoon), and condensation. Identify the source before treating. Rising damp shows a horizontal tide-mark up to 1 metre high. Treatment: hack out plaster to 1m height, apply Dr. Fixit Dampshield or Fosroc Renderoc waterproofing compound, re-plaster with waterproof cement. For external wall seepage: apply Dr. Fixit Roofseal or Pidilite Bituminous coating on the outer face. Injection grouting (epoxy resin) is used for active water seepage through cracks. Cost: ₹35–65/sqft for waterproofing treatment depending on severity. Never paint over damp walls — the paint will peel within 6 months. Waterproofing must be done before any interior finishing work.",https://www.drfixit.in/solutions/dampproofing
180,240,Walls and Painting,india_reno_walls_and_ceilings,False Ceiling Options for Indian Homes,vid_0003,POP False Ceiling vs Grid Ceiling — What to Choose,ch_0003,"Two main false ceiling options in India: POP (Plaster of Paris) on MS grid, and gypsum board on MS grid. POP false ceiling: better for curves and ornate designs (traditional/contemporary Indian style). Cost: ₹65–90/sqft including labour. Disadvantage: heavy, cracks in seismic zones. Gypsum board ceiling: better for rectilinear modern designs. Cost: ₹75–105/sqft. Lighter, fire-resistant (Class A), and paintable with emulsion. Installation sequence: fix primary channel (38mm) at 1200mm centres → fix cross-tee at 600mm centres → place gypsum boards → tape and jointing compound → sand → primer → paint. LED strip lighting recesses: leave 150mm cavity between main ceiling and false ceiling. For Modern Minimalist style, gypsum with recessed LED coves is the standard Indian execution.",https://www.gyproc.in/installation-guide
240,300,Walls and Painting,india_reno_walls_and_ceilings,Texture Paint Application Guide,vid_0004,Applying Texture Paint in Indian Homes,ch_0004,"Texture paint adds depth and hides surface imperfections. Popular in Indian homes for accent walls. Types: Asian Paints Royale Play (smooth/coarse), Berger Illusions. Application: surface must be primed and putty-coated first. Apply texture paste with a trowel or sponge roller. Create patterns while wet (comb, brush, stipple). One coat covers 30–40 sqft per kg. Cost: ₹180–280/sqft for texture + labour. Best suited for: living room feature walls, headboard walls in bedrooms. Avoid in kitchens and bathrooms — texture traps grease and moisture. Maintenance: texture walls are harder to repaint — budget 20% extra on repainting.",https://www.asianpaints.com/royale-play
300,360,Flooring,india_reno_flooring,Vitrified Tile Installation: Indian Contractor Method,vid_0005,Laying Vitrified Tiles in India — Step by Step,ch_0005,"Step 1: Prepare the base. The concrete sub-floor must be level (±3mm over 3m). Check with a spirit level. Use self-levelling compound (₹50–80/kg) for undulations > 5mm. Step 2: Mix tile adhesive (polymer-modified, BIS IS:15477). Ratio: 5 parts adhesive : 1 part water. Step 3: Apply adhesive in a combed pattern with a 6mm notched trowel. Work in 1 sqm sections. Step 4: Lay tiles with 2mm spacers for 600×600mm tiles. Tap with rubber mallet to bed firmly. Step 5: Check level continuously. Tile lippage > 0.5mm is visible at grazing light — adjust immediately. Step 6: Allow 24-hour curing before grouting. Use Laticrete or Fosroc grout. Step 7: Grout joint width: 2mm for rectified tiles, 3mm for non-rectified. Important: leave expansion joints at walls and every 4m — thermal expansion causes tiles to hollow out and crack in Indian summer heat if expansion joints are omitted.",https://www.kajariaceramics.com/installation-guide
360,420,Flooring,india_reno_flooring,Flooring Material Guide for Indian Homes,vid_0006,"Choosing Between Marble, Granite, and Vitrified Tile in India",ch_0006,"Marble: Premium option. Natural stone. Makrana White (Rajasthan) costs ₹80–150/sqft. Italian marble (Carrara, Statuario) costs ₹300–800/sqft. Requires polishing every 3–5 years (cost: ₹15–25/sqft). Stains easily — needs sealing. Slippery when wet. Granite: More durable than marble. Black Galaxy ₹60–90/sqft, Tan Brown ₹50–80/sqft. Near-zero maintenance. Suitable for kitchens and high-traffic areas. Vitrified tile: Best value. GVT (Glazed Vitrified Tile) 600×600mm: ₹45–80/sqft. Scratch and stain resistant. No sealing needed. Consistent colour (unlike natural stone). Large format 1200×1200mm gives premium appearance at lower cost than marble. Recommendation: For Modern Minimalist Indian bedrooms, 800×800mm or 1200×600mm rectified GVT in matte grey or ivory gives the best value-to-aesthetic ratio.",https://www.somanyceramics.com/flooring-guide
420,480,Flooring,india_reno_flooring,Bathroom Waterproofing: Indian Contractor Standard,vid_0007,Waterproofing Bathroom Floor Before Tiling,ch_0007,"Bathroom waterproofing is mandatory under Indian building practice. Skipping it causes seepage to flat below within 2–3 years. Step 1: Ensure existing screed/bed is sound. Hack any loose portions. Step 2: Apply cementitious waterproofing slurry (Dr. Fixit 2K, Pidilite Roff Fastflex) — 2 coats, 24-hour gap, applied with brush to all surfaces + 150mm up walls. Step 3: Flood test — dam the floor, fill 50mm water, leave 24 hours. No drop = pass. Step 4: Tile over waterproofed surface within 48 hours using white cement-based adhesive. Cost: ₹45–70/sqft for waterproofing. Never use bitumen-based products inside bathrooms (they off-gas). Warranty from waterproofing compounds: 10 years when correctly applied.",https://www.drfixit.in/bathroom-waterproofing
480,540,Flooring,india_reno_flooring,Natural Stone Flooring Options in India,vid_0008,Kadappa Stone and Kota Stone Flooring for Indian Homes,ch_0008,"Kota Stone: Blue-grey limestone from Kota, Rajasthan. Extremely durable. Cost: ₹28–45/sqft (material). Traditionally used in institutional and outdoor areas. Now popular for Industrial and Contemporary Indian interior styles. Finish options: natural (rough), machine-polished (smooth, ₹5/sqft extra). Kadappa Stone: Dark grey/black limestone from Andhra Pradesh. ₹35–55/sqft. Used in Traditional Indian and Japandi-inspired homes. Installation: use white cement mortar bed (1:4 cement:sand, 25mm thick). No adhesive needed — traditional Dhaba method. Allow 7 days curing before use. Acid wash after 28 days to remove cement stains. Apply coconut oil or linseed oil polish to deepen colour. Reseal annually. Avoid in wet areas (both stones are porous).",https://www.naturalstonesuppliersofIndia.com
540,600,Electrical,india_reno_electrical,Electrical Safety for Indian Home Renovation,vid_0009,Indian Home Wiring Standards — What Every Homeowner Must Know,ch_0009,"Indian homes use 230V AC, 50Hz supply. All wiring must comply with IS:732. Wire sizes for home circuits: 1.5 sqmm copper for lighting (max 800W per circuit), 2.5 sqmm for power points (max 3000W), 4 sqmm for AC/geyser circuits (max 4000W), 6 sqmm for main supply. Always use ISI-marked (BIS-certified) wires. Havells, Polycab, Finolex are reliable Indian brands. Avoid unbranded wires — fire risk is high. ELCB (Earth Leakage Circuit Breaker) is mandatory for bathroom, kitchen, and AC circuits. MCBs should be installed for every circuit in the DB. For renovation: always turn off the main MCB before any electrical work. Get a licensed electrician (ITI qualified) for all wiring — required by insurance policy.",https://www.bis.gov.in/electrical-standards
