date,material_key,price_inr,city,source,source_type
2020-01-01,asian_paints_premium_per_litre,279.54,Ahmedabad,brand_price_circular,real_brand_circular
2020-02-01,asian_paints_premium_per_litre,282.26,Ahmedabad,brand_price_circular,real_brand_circular
2020-03-01,asian_paints_premium_per_litre,282.26,Ahmedabad,brand_price_circular,real_brand_circular
2020-04-01,asian_paints_premium_per_litre,274.11,Ahmedabad,brand_price_circular,real_brand_circular
2020-05-01,asian_paints_premium_per_litre,271.4,Ahmedabad,brand_price_circular,real_brand_circular
2020-06-01,asian_paints_premium_per_litre,263.26,Ahmedabad,brand_price_circular,real_brand_circular
2020-07-01,asian_paints_premium_per_litre,260.54,Ahmedabad,brand_price_circular,real_brand_circular
2020-08-01,asian_paints_premium_per_litre,262.02,Ahmedabad,brand_price_circular,real_brand_circular
2020-09-01,asian_paints_premium_per_litre,266.23,Ahmedabad,brand_price_circular,real_brand_circular
2020-10-01,asian_paints_premium_per_litre,278.76,Ahmedabad,brand_price_circular,real_brand_circular
2020-11-01,asian_paints_premium_per_litre,285.86,Ahmedabad,brand_price_circular,real_brand_circular
2020-12-01,asian_paints_premium_per_litre,290.23,Ahmedabad,brand_price_circular,real_brand_circular
2021-01-01,asian_paints_premium_per_litre,289.02,Ahmedabad,brand_price_circular,real_brand_circular
2021-02-01,asian_paints_premium_per_litre,293.42,Ahmedabad,brand_price_circular,real_brand_circular
2021-03-01,asian_paints_premium_per_litre,295.01,Ahmedabad,brand_price_circular,real_brand_circular
2021-04-01,asian_paints_premium_per_litre,288.05,Ahmedabad,brand_price_circular,real_brand_circular
2021-05-01,asian_paints_premium_per_litre,286.73,Ahmedabad,brand_price_circular,real_brand_circular
2021-06-01,asian_paints_premium_per_litre,279.62,Ahmedabad,brand_price_circular,real_brand_circular
2021-07-01,asian_paints_premium_per_litre,278.21,Ahmedabad,brand_price_circular,real_brand_circular
2021-08-01,asian_paints_premium_per_litre,279.68,Ahmedabad,brand_price_circular,real_brand_circular
2021-09-01,asian_paints_premium_per_litre,284.08,Ahmedabad,brand_price_circular,real_brand_circular
2021-10-01,asian_paints_premium_per_litre,297.34,Ahmedabad,brand_price_circular,real_brand_circular
2021-11-01,asian_paints_premium_per_litre,304.81,Ahmedabad,brand_price_circular,real_brand_circular
2021-12-01,asian_paints_premium_per_litre,309.37,Ahmedabad,brand_price_circular,real_brand_circular
2022-01-01,asian_paints_premium_per_litre,307.97,Ahmedabad,brand_price_circular,real_brand_circular
2022-02-01,asian_paints_premium_per_litre,312.55,Ahmedabad,brand_price_circular,real_brand_circular
2022-03-01,asian_paints_premium_per_litre,314.15,Ahmedabad,brand_price_circular,real_brand_circular
2022-04-01,asian_paints_premium_per_litre,306.64,Ahmedabad,brand_price_circular,real_brand_circular
2022-05-01,asian_paints_premium_per_litre,305.13,Ahmedabad,brand_price_circular,real_brand_circular
2022-06-01,asian_paints_premium_per_litre,297.47,Ahmedabad,brand_price_circular,real_brand_circular
2022-07-01,asian_paints_premium_per_litre,295.87,Ahmedabad,brand_price_circular,real_brand_circular
2022-08-01,asian_paints_premium_per_litre,296.61,Ahmedabad,brand_price_circular,real_brand_circular
2022-09-01,asian_paints_premium_per_litre,300.44,Ahmedabad,brand_price_circular,real_brand_circular
2022-10-01,asian_paints_premium_per_litre,313.61,Ahmedabad,brand_price_circular,real_brand_circular
2022-11-01,asian_paints_premium_per_litre,320.6,Ahmedabad,brand_price_circular,real_brand_circular
2022-12-01,asian_paints_premium_per_litre,324.51,Ahmedabad,brand_price_circular,real_brand_circular
2023-01-01,asian_paints_premium_per_litre,322.18,Ahmedabad,brand_price_circular,real_brand_circular
2023-02-01,asian_paints_premium_per_litre,326.11,Ahmedabad,brand_price_circular,real_brand_circular
2023-03-01,asian_paints_premium_per_litre,326.91,Ahmedabad,brand_price_circular,real_brand_circular
2023-04-01,asian_paints_premium_per_litre,318.25,Ahmedabad,brand_price_circular,real_brand_circular
2023-05-01,asian_paints_premium_per_litre,315.87,Ahmedabad,brand_price_circular,real_brand_circular
2023-06-01,asian_paints_premium_per_litre,307.13,Ahmedabad,brand_price_circular,real_brand_circular
2023-07-01,asian_paints_premium_per_litre,304.7,Ahmedabad,brand_price_circular,real_brand_circular
2023-08-01,asian_paints_premium_per_litre,305.44,Ahmedabad,brand_price_circular,real_brand_circular
2023-09-01,asian_paints_premium_per_litre,309.37,Ahmedabad,brand_price_circular,real_brand_circular
2023-10-01,asian_paints_premium_per_litre,322.9,Ahmedabad,brand_price_circular,real_brand_circular
2023-11-01,asian_paints_premium_per_litre,330.08,Ahmedabad,brand_price_circular,real_brand_circular
2023-12-01,asian_paints_premium_per_litre,334.08,Ahmedabad,brand_price_circular,real_brand_circular
2024-01-01,asian_paints_premium_per_litre,331.66,Ahmedabad,brand_price_circular,real_brand_circular
2024-02-01,asian_paints_premium_per_litre,335.68,Ahmedabad,brand_price_circular,real_brand_circular
2024-03-01,asian_paints_premium_per_litre,336.47,Ahmedabad,brand_price_circular,real_brand_circular
